Data Transferred (MB),Total Bandwidth (MB/s)
4.194304,190235.12
8.388608,286496.18
16.777216,286966.62
33.554432,298654.52
53.314432,340084.93
106.628864,427144.21
213.257728,475919.72
426.515456,446101.08
853.030912,452576.62
1706.061824,497020.85
3412.123648,498463.7
6824.247296,712340.74
