Data Transferred (MB),Total Bandwidth (MB/s)
4.194304,187782.23
8.388608,210388.43
16.777216,274928.16
33.554432,315646.0
53.314432,332086.12
106.628864,363454.63
213.257728,380599.87
426.515456,390341.71
853.030912,395021.2
1706.061824,397732.35
3412.123648,398919.8
6824.247296,399475.75
