No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7
1,7531.34,5333.83,6167.06,6153.53,5429.54,8635.42,8584.34,8477.76
2,15348.34,10555.42,12194.39,12213.11,10799.79,17027.9,16868.81,16626.89
4,30776.64,21834.46,25083.01,25056.52,21863.04,33954.38,34260.77,34130.47
8,60250.66,42966.88,49359.01,49269.28,43197.67,65382.78,65283.62,65331.11
16,115022.53,82015.63,93728.64,93732.63,82681.89,125789.72,126286.49,126411.23
22,158503.98,114588.65,124802.97,124557.97,108261.47,167120.84,166610.25,166684.33
32,173349.7,122369.59,125231.7,123192.6,123390.43,196684.15,191932.63,192222.4
44,172587.13,122501.64,119462.36,116170.0,122758.45,243245.64,225389.08,211439.44
