No. Gathers/Scatters,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8
512,833526.21,838860.82,834853.49,834853.49,821767.99,240941.17,240941.17,240941.17,241051.95
1024,1125081.55,1136052.02,1134822.52,1119077.94,1134822.52,248242.42,248242.42,250137.42,250137.42
2048,1432480.9,1433460.05,1420834.74,1412223.55,1422762.5,253034.76,253034.76,253034.76,253034.76
4096,1738932.03,1737491.31,1736771.85,1759355.71,1737491.31,281270.39,281875.27,281270.39,281270.39
8192,1700508.39,1706736.13,1695353.29,1695353.29,1707083.38,256250.25,256250.25,256250.25,256250.25
16384,1816305.77,1819062.75,1817092.65,1816109.11,1815519.57,256756.13,256756.13,256878.01,283245.81
32768,2094533.84,2125716.4,2094795.42,2098594.79,2098201.01,290223.08,290142.77,290142.77,290223.08
65536,1892416.25,1907097.84,1894392.78,1894232.43,1893110.31,283667.25,290223.08,290263.26,290303.43
