No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7
1,7367.2,6232.75,6245.02,5238.22,8201.42,8704.0,8492.98,8411.58
2,15420.77,12282.69,12267.38,10709.9,16292.11,16963.5,16846.56,17022.81
4,30465.91,24605.16,24611.59,22155.54,32109.1,33212.31,33257.64,33317.4
8,60440.19,49351.38,49247.23,43266.42,64185.31,65666.23,65769.21,65575.28
16,115935.45,93274.84,93214.21,83144.67,122428.11,126652.56,126507.64,126545.84
22,152842.64,120788.0,119719.25,108308.67,162943.19,169383.2,168301.66,169513.53
32,175570.31,129026.08,124871.28,121472.71,188602.47,192128.62,189084.68,193161.29
44,170739.8,116469.67,112025.24,123300.24,207937.23,234537.54,229153.35,216554.87
