Data Transferred (MB),Total Bandwidth (MB/s)
4.194304,365103.07
8.388608,289023.16
16.777216,385505.88
33.554432,470635.55
66.951744,522016.5
133.903488,618731.92
267.806976,659753.1
535.613952,684718.21
1071.227904,693498.62
2142.455808,701910.61
4284.911616,702311.9
8569.823232,702265.85
