Cores,Actual,Ideal
1,3.3341e+07,3.33E+07
8,1.73263e+08,2.67E+08
32,3.68068e+08,1.07E+09
56,5.05724e+08,1.87E+09
88,4.0239e+08,2.93E+09
112,6.2133e+08,3.73E+09
