Cores,Actual,Ideal
1,125169000.0,1.25169e+08
8,1062590000.0,1.001352e+09
32,3224050000.0,4.005408e+09
56,5292420000.0,7.009464e+09
88,5641400000.0,1.1014872e+10
112,7830500000.0,1.4018928e+10
