Cores,Actual,Ideal
1,1.58871e+07,1.59E+07
8,7.69292e+07,1.27E+08
32,1.80348e+08,5.08E+08
56,2.38803e+08,8.90E+08
88,3.27651e+08,1.40E+09
112,3.91002e+08,1.78E+09
