No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7
1,5582.22,3772.29,4860.8,4881.99,3826.55,4468.9,4448.58,4474.06
2,5576.38,3802.77,4815.3,4807.31,3803.01,4441.79,4467.11,4453.27
4,5531.49,3711.58,4771.33,4769.15,3726.74,4409.09,4407.52,4407.33
8,5610.09,3792.39,4844.05,4853.45,3797.78,4475.84,4471.21,4481.38
16,5642.98,3757.05,4866.76,4865.8,3772.58,4534.15,4529.62,4529.57
18,5291.75,3399.91,4379.98,4395.16,3346.39,4178.2,4172.68,4183.41
32,5123.59,3318.87,4005.62,3939.75,3150.38,3818.76,3830.98,3988.88
36,4956.31,3281.62,3839.17,3662.08,3190.6,3692.64,3795.19,3780.31
