No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3
1,3218.13,3185.57,3853.22,3866.29
2,6385.79,6352.7,7693.79,7718.09
4,13877.3,13708.32,16593.06,16589.16
8,30124.16,29784.71,35815.28,35933.98
16,57522.89,55709.34,68560.58,69065.25
18,66152.14,65307.25,81016.22,81241.03
32,116222.54,107054.21,135894.99,132426.15
36,129814.28,112143.92,146776.92,140772.57
