No. Gathers/Scatters,Pattern 0,Pattern 1,Pattern 2,Pattern 3
512,692586.52,688946.15,713317.0,683556.7
1024,1053845.22,1054905.43,1029024.57,1053845.22
2048,1359139.35,1374280.49,1383345.63,1357379.93
4096,1633932.22,1650650.91,1814930.41,1838800.6
8192,1827185.44,1816109.11,2055024.07,2057544.23
16384,1991124.53,1991124.53,2260775.66,2258341.1
32768,2046750.7,2046126.74,2301243.47,2302032.91
65536,1530558.41,1522364.29,1733765.6,2360494.69
