No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7
1,7531.34,5333.83,6167.06,6153.53,5429.54,8635.42,8584.34,8477.76
2,7674.17,5277.71,6097.19,6106.56,5399.9,8513.95,8434.4,8313.44
4,7694.16,5458.61,6270.75,6264.13,5465.76,8488.6,8565.19,8532.62
8,7531.33,5370.86,6169.88,6158.66,5399.71,8172.85,8160.45,8166.39
16,7188.91,5125.98,5858.04,5858.29,5167.62,7861.86,7892.91,7900.7
22,7204.73,5208.57,5672.86,5661.73,4920.98,7596.4,7573.19,7576.56
32,5417.18,3824.05,3913.49,3849.77,3855.95,6146.38,5997.89,6006.95
44,3922.43,2784.13,2715.05,2640.23,2789.96,5528.31,5122.48,4805.44
