No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8
1,8505.99,8516.42,8529.29,8528.91,8526.81,5841.05,5821.98,5994.99,5937.61
2,17036.21,16998.44,17057.87,17065.6,17037.04,11617.91,11626.36,11926.99,11950.36
4,33239.18,33431.79,33399.61,33383.19,33312.42,23164.8,23208.52,23744.46,23748.03
8,64883.75,64703.72,65046.37,65025.59,64774.47,44082.1,44120.16,45363.48,45308.51
16,114217.87,113631.35,114210.56,114211.58,114038.95,78440.03,78520.07,80842.97,80721.68
18,124102.88,122139.85,123485.19,123532.32,123314.53,88169.08,88231.37,90604.74,90618.57
