No. Gathers/Scatters,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7
512,664496.82,515524.12,515524.12,628642.68,500274.83,157538.46,157538.46,159067.96
1024,1003421.97,819840.53,820482.03,801051.21,821124.55,157538.46,158299.51,159067.96
2048,1062925.55,1169633.0,1170939.13,1274864.47,1151016.45,161817.28,161817.28,162217.83
4096,1372481.68,1252031.08,1357379.93,1357379.93,1253153.23,138994.69,138700.53,137825.44
8192,2767604.06,2360992.93,2558282.36,2541232.36,2360328.61,249186.32,251095.78,249660.96
16384,2992725.02,2627598.45,2752619.49,2738243.25,2631720.21,250975.58,249779.91,251577.73
32768,3125995.08,2732000.67,2917522.93,2917015.78,2736233.55,250555.8,249482.74,251155.93
65536,2092052.51,1817732.37,1969156.88,1970949.6,1820247.01,249097.53,249720.41,250077.75
