No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8
1,8505.99,8516.42,8529.29,8528.91,8526.81,5841.05,5821.98,5994.99,5937.61
2,8518.1,8499.22,8528.94,8532.8,8518.52,5808.95,5813.18,5963.5,5975.18
4,8309.8,8357.95,8349.9,8345.8,8328.1,5791.2,5802.13,5936.11,5937.01
8,8110.47,8087.97,8130.8,8128.2,8096.81,5510.26,5515.02,5670.44,5663.56
16,7138.62,7101.96,7138.16,7138.22,7127.43,4902.5,4907.5,5052.69,5045.11
18,6894.6,6785.55,6860.29,6862.91,6850.81,4898.28,4901.74,5033.6,5034.36
