No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8
1,8662.8,8754.09,9020.11,9054.99,8666.54,8998.59,8965.83,8866.5,8962.74
2,17392.5,17533.17,18009.58,17995.65,17370.03,17870.79,17915.1,17891.87,17838.33
4,34795.31,35075.55,36077.6,36115.98,34822.24,35684.98,35839.61,35732.27,35811.67
8,66819.35,67154.19,69078.85,68905.12,66741.58,68671.35,68792.74,68095.21,67831.39
16,126210.91,119751.14,131719.82,131731.11,120280.24,131530.45,132834.91,133251.08,132892.38
22,156253.2,139371.57,155852.23,156245.7,136629.62,156639.95,155734.96,156359.14,155340.68
