No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7
1,5104.01,4536.49,4536.69,3560.05,4307.59,4171.44,4127.89,4142.21
2,11152.42,9688.24,9667.63,7558.87,9189.71,8909.7,8898.45,8925.28
4,22270.26,19202.61,19239.93,15111.81,18376.44,17726.57,17724.57,17711.11
8,45034.01,38818.44,38727.28,30485.23,37060.1,35887.6,35820.79,35856.79
16,86963.76,74790.33,74623.22,58051.42,70831.1,69584.75,69543.72,69509.27
18,97775.14,83892.9,81267.44,62954.87,77425.18,76667.84,76455.72,76775.88
32,157794.15,113868.75,117040.29,103515.93,130169.81,123973.45,123387.24,128733.67
36,168357.03,111249.7,124139.22,117287.99,136524.74,131161.62,137793.95,137954.92
