No. Cores,Actual,Ideal
1,0.038064439,0.038064439
2,0.075867354,0.076128877
4,0.148700148,0.152257754
8,0.274408649,0.304515508
16,0.472957847,0.609031016
32,0.665584968,1.218062033
48,0.684972167,1.827093049
