X Elements,Y Elements,Z Elements,No. Cells,Actual,Memory (GiB)
27,27,27,19683,20.85107735,4.9
34,34,34,39304,26.86800991,8.6
38,38,38,54872,26.83676332,11.7
42,42,42,74088,28.57570093,15.0
