No. Cores,Actual,Ideal,Memory (GiB)
1,0.028400,0.028400,81.21
2,0.055194,0.056799,83.52
4,0.114154,0.113599,84.73
8,0.203932,0.227198,86.44
16,0.377767,0.454395,89.14
32,0.550832,0.908791,91.91
48,0.520269,1.363186,95.21
